Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.25085263189235,0.124999962303015,0.0935320082362602,0,0,0,10.8578811053591,0.0426858240432794,1.75690865940874E-07,0.000155619703380273,0.230347212991678,-3.18405125978138E-08,0.264862085249415,0,0,0,0,0,0,package://robo_com/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_com/meshes/base_link.STL,,cover-1;base-1;shaftt-2;shaftt-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fwr,-0.020730182706802,-3.05311331771918E-16,-5.55111512312578E-17,0,0,0,0.411963029786123,0.000782944022280859,1.63682263000278E-19,1.01799034320107E-19,0.00044224300953557,-5.42101086242752E-20,0.00044224300953557,0,0,0,0,0,0,package://robo_com/meshes/fwr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_com/meshes/fwr.STL,,wheel2-2,Origin_fwrj,Axis1,fwrj,continuous,-0.15674,0,0.06,-2.7485,0,-1.5708,base_link,-1,0,0,100,100,,,,,,,,,,
bwr,-0.0207301827068022,-1.11022302462516E-16,-2.77555756156289E-17,0,0,0,0.411963029786123,0.000782944022280859,2.74865893365976E-19,8.28921151727558E-20,0.00044224300953557,4.06575814682064E-20,0.00044224300953557,0,0,0,0,0,0,package://robo_com/meshes/bwr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_com/meshes/bwr.STL,,wheel2-4,Origin_bwrj,Axis2,bwrj,continuous,-0.34326,0,0.06,-2.7485,0,-1.5708,base_link,-1,0,0,100,100,,,,,,,,,,
fwl,0.0192698172931982,2.26396956737318E-10,-1.76622078074118E-10,0,0,0,0.411963029786123,0.000782944022280858,4.00282008962423E-12,-3.12277793936069E-12,0.00044224300953557,-4.36547408280078E-20,0.00044224300953557,0,0,0,0,0,0,package://robo_com/meshes/fwl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_com/meshes/fwl.STL,,wheel2-3,Origin_fwlj,Axis1,fwlj,continuous,-0.15674,0.21,0.06,-0.90828,0,1.5708,base_link,1,0,0,100,100,,,,,,,,,,
bwl,0.0192698172931983,2.3715227004395E-10,-1.61894164740772E-10,0,0,0,0.411963029786123,0.000782944022280858,4.19298552796009E-12,-2.86237435877525E-12,0.00044224300953557,1.39145559620667E-20,0.00044224300953557,0,0,0,0,0,0,package://robo_com/meshes/bwl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_com/meshes/bwl.STL,,wheel2-1,Origin_bwlj,Axis2,bwlj,continuous,-0.34326,0.21,0.06,-0.9718,0,1.5708,base_link,1,0,0,100,100,,,,,,,,,,
laser_sen,0.001,-0.001,-0.001,0,0,0,8.00000000000002E-06,5.33333333333336E-12,1.15852857797712E-28,1.33800727532806E-28,5.33333333333336E-12,6.27874936784234E-29,5.33333333333336E-12,0,0,0,0,0,0,package://robo_com/meshes/laser_sen.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_com/meshes/laser_sen.STL,,lasersen-2,Origin_laser_senj,,laser_senj,fixed,-0.042,0.128,0.162,0,0,0,base_link,0,0,0,,,,,,,,,,,,
cam_sen,0.001,-0.001,-0.001,0,0,0,8.00000000000003E-06,5.33333333333336E-12,-1.08709337827897E-29,-3.4750151201897E-28,5.33333333333336E-12,-7.7093221314399E-28,5.33333333333336E-12,0,0,0,0,0,0,package://robo_com/meshes/cam_sen.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_com/meshes/cam_sen.STL,,lasersen-1,Origin_cam_senj,,cam_senj,fixed,-0.04,0.124,0.16,-1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
emp_sen,0.001,-0.001,-0.001,0,0,0,8.00000000000003E-06,5.33333333333336E-12,-1.08709337827897E-29,-3.4750151201897E-28,5.33333333333336E-12,-7.7093221314399E-28,5.33333333333336E-12,0,0,0,0,0,0,package://robo_com/meshes/emp_sen.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_com/meshes/emp_sen.STL,,lasersen-3,Origin_emp_senj,,emp_senj,fixed,-0.04,0.122,0.16,-1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
arm1,5.55111512312578E-17,0.0125651013239149,-2.77555756156289E-17,0,0,0,0.260678745840163,0.000367429779280589,3.3505885007923E-20,-3.3881317890172E-20,0.000668095783252645,1.12176189910729E-20,0.000388638806672402,0,0,0,0,0,0,package://robo_com/meshes/arm1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_com/meshes/arm1.STL,,armbase1-1,Origin_arm1j,Axis3,arm1j,continuous,-0.15674,0.125,0.158,1.5708,0,0.20185,base_link,0,1,0,100,100,-3.14,3.14,,,,,,,,
arm2,0.108217089096132,5.82867087928207E-16,8.18789480661053E-16,0,0,0,0.604646346232966,0.000273878291431171,-1.68390149914155E-18,-3.48299947910968E-18,0.0047505671687442,-5.42101086242752E-20,0.00456738582924797,0,0,0,0,0,0,package://robo_com/meshes/arm2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_com/meshes/arm2.STL,,Part1arm1-1,Origin_arm2j,Axis4,arm2j,revolute,0,0.054,0,3.1416,0.87452,1.5708,arm1,0,1,0,100,100,-1.57,1.57,,,,,,,,
